Comment_ID,Review_ID,Helpfullness Ratio,Author,Comment,Thumbs Up!,Thumbs Down,Question & Answer,Product Feature Discussion,"Irrelevant (e.g., arguing with one another)"
1,1,0.95729536,shells,"http://blogkindle.com/2010/08/new-kindle-3-review-hands-on/ ""Although officially Kindle 3 battery is not user-replaceable, it's very easy to pop the cover off (you just need a thin screwdriver or a knife). Kindle 3 comes with LICO S11GTSF01A 3.7V 1750 mAh Lithium Polymer battery. This is an upgrade compared to 1530 mAh battery by the same manufacturer found in Kindle 2.  According to Amazon it allows up to 1 month battery life with wireless off and up to 3 weeks with wireless on for  WiFi-only Kindle 3 and up to 10 days for WiFi + 3G Kindle."" i would agree that theY should have a good enough service so theY can simplY change the batterY, but i still thought this was worth mentioning :) happY kindling! p.s. sorrY about the Y's, there is something wrong with mY keYboard",0,0,0,1,0
2,1,0.8811881,Wanda De Leon,"Great review, all of the information is really helpful and I think you and your wife helped me in making my decision! I am ordering my Kindle 3 very soon, thanks!",1,0,0,0,0
3,1,0.96747965,Marcin,"Very nice review.  Thanks for the nook comparison.   I have a K3 on order and should be getting it in a couple weeks.   I pre-ordered late, now i'm eagerly awaiting my first Kindle.      I had a chance to play with the nook and just wasn't that impressed with it.  I've never used an e-book reader before, so perhaps i'm being overly picky.   It seemed slow to use.   The color touchscreen bugged me for some reason.  Maybe it's the difference of the e-ink side-by-side with a backlit LCD.    The nook also completely locked up in the store while the BN employee was doing the demo on it :)   I just didn't feel any ""chemistry"" with the nook.   I'm normally impatient and tend to buy stuff a bit quicker than I should.   I was unimpressed enough by the nook to opt to wait for the Kindle.  The charcoal K3 is very understated and clean.  It's like it escaped from Apple's labs.",1,0,0,1,0
4,1,0.8181818,Lael,Question - I saw on your cover review that you got both the grey and the white versions. Which one do you prefer and how much difference is there between the two?,0,0,1,0,0
5,1,0.84615386,Ron Cronovich,"Shells, thanks for the pointer regarding battery replacement.    Wanda, Marcin and Ryan, thanks for your comments.  I think you'll be very happy when your new Kindle arrives!",0,0,0,0,1
6,1,0.9307692,Ron Cronovich,"Hi Lael,   I prefer the white, my wife prefers the graphite.  Many reviews of the Kindle DX and the new graphite K3 say that text seems to ""pop"" or stand out more due to the psychological effect of having a dark ""frame"" around the ""page.""  My wife agrees with that.  I set them side by side and I cannot tell the difference, honestly, but so many people can, there must be something to it.    Since I can't tell the difference, I chose white for very superficial reasons.    1) I think the white kindle looks better with most of the colors of Amazon cases. for example I put my wife's graphite K3 in my green Amazon lighted case and I just didn't like the color combination.  I also cannot imagine pairing the graphite K3 with one of the warmer color cases, like burnt orange or brown.  But that's totally subjective, everyone has different tastes and mine are not better than anyone else's.    2) I believe that most people will now buy the graphite (DX and K3-wifi only come in graphite; K3-3G comes in both but graphite is new and ""sexy"", apparently), and therefore white will soon be the more ""rare,"" unique color.  I like having something different than everyone else.  (Of course, my K3 is the same color is the millions of K2s out there, so it's not THAT unique!)",0,0,1,1,0
7,1,0.9431818,Chibacat,"Great review! Thanks much. A friend tried to talk me into buying a Nook last December and I hesitated. Now I'm glad I did. Never had an e-reader (never have ordered first generation anything) and this Kindle 3 I  ordered will be a first. I didn't care about a color screen or being able to loan books that Nook offered. I needed the ability to read outside pretty much anywhere, change text size and font...simple things. Since most of my reading will be done in the western North woods of MI (where there's nothing but trees and critters! LOL) I wanted both 3G and wi-fi which Kindle 3 offered. I can't wait to receive it. Looking forward to a new experience with Kindle3. However, I do hope Amazon makes the battery changeable by the owner in future versions because that really is a pain to send the whole thing back.",1,0,0,1,0
8,1,0.98275864,D. Knight,"Great review! A month ago I was doing the research to try and decide between a Nook and a Kindle, and your review would have helped me then. I decided on the Kindle 3 Wi-Fi only and it is sitting next to me as I write this. I do want to point out something, though. I initially thought the ""loan"" feature was a huge Nook advantage until I looked at it closer. You can only loan a book one time, and only if it is enabled by the publisher. Apparently many, if not most, books have this feature disabled. So the reality struck that advantage off my list.",1,0,0,1,0
9,1,0.95238096,Ron Cronovich,"Chibacat, thanks for your comment.  I'm happy you didn't buy the nook last December, I think you would not have enjoyed it nearly as much as the K3.  Regarding the battery, another user posted an earlier comment here with a link that suggests users may be able to replace the Kindle's battery, after all.  I'm sure this would void the warranty, but I suspect the original battery will last until long after the original warranty expires.",0,0,0,1,0
10,1,0.8333333,Ron Cronovich,"D. Knight, thanks for writing.  I agree, the ""loan"" feature is a joke, there are too many restrictions to make it useful.  Plus, I do not know anyone else who has a nook that I could loan a book to.  Enjoy your K3!",0,0,0,1,0
11,1,0.8,Carlos Cruz,Thank you for taking the time to inform us of your experience..I think I will be getting the Kindle for my wife so she doesnt have to carry the book she's currently reading around..thnx again!!,1,0,0,0,0
12,1,0.9,sabst79,"Great review.  As far as battery goes, what Amazon doesn't tell you is that you can just google the replacement battery and replace it yourself instead of sending it back to Amazon.  If the Kindle is out of warranty, it will cost you less than sending it back to amazon.  though getting a refurbished Kindle for the price of a replacement battery is not a bad deal in my book",1,0,0,1,0
13,1,0.625,Edgar Perez II,Very comprehensive review!,1,0,0,0,0
14,1,1,Ron Cronovich,"Thanks to all commenters for reading my review.    More and more ex-nook users are coming out and saying that borrowing books from the library in ePub format has not worked well for them.  People are saying that the selection of ePub books available to be borrowed from public libraries is extremely limited, and one person said there was a 39-week wait to borrow a particular book.  (The technology exists to allow a library to loan a single ePub book to many users at the same time, but publishers typically don't allow this because they fear it will reduce their sales.)  Bottom line, the nook's ability to borrow library books seems too limited and problematic to be a worthwhile reason to choose nook over kindle.",0,0,0,1,0
15,1,0.75,John,"Ron, I just had to comment on your great review. Good Job. The 167 out of 167  (08-30-10) people to rate your review good is evidence of that.  I have recently downloaded a epub to mobi conversion tool. This application will allow you to make epub(unprotected I am assuming) a .mobi which I think is the core of amazon's proprietary format which is .azw.",1,0,0,1,0
16,1,0.7692308,B Guenther,"Ron, Helpful review.  Thanks. I have a couple of days to decide if I'm going to return my latest-gen Kindle DX to get the K3 and I'm wondering if you would help me understand why you favor the K3 over the DX? The PDF on the DX is much better than my K2 as you mentioned, but the size is a bit of an issue as is the lack of left side page turns.  Is the ability to highlight and note PDFs significant in your opinion? I want my Kindle to be primarily an e-book reader, but the PDF viewing is a big bonus. Thanks in advance.",1,0,1,1,0
17,1,0.45454547,Marylyn Hoffman,"Marylyn says  I'm also from the western UP of Michigan Chibacat, and wondering if the 3G will work up here.  I'll look forward to your comments when you receive it. I'm holding out a few more weeks when I will return from the LP. By then, I should have more info on the 3G, and also, I'm favoring the white, like the mountains of snow we get up here.  Speaking of critters we had two sows and 4 cubs in our yard today.",0,0,0,0,1
18,1,0.625,Lisa Thomas,Well written and very informative review.  Thank you so much!   :0)  Lisa in England,1,0,0,0,0
19,1,0.8666667,S. Riker,"Great review. I have a nook and yes I do like the in-store experience because I almost live at a Barnes and Noble lol. If I go crazy I might still get a Kindle, even just the wi-fi version, because I like how the black looks like, even if I am already using the Kindle app on my iPad :P I hope more reviewers post like you.",1,0,1,0,0
20,1,1,D. Rothmeyer,"Great review!  Very informative and from someone who really tried all those available!  I am (im)patiently waiting for the arrival of my graphite K3.  It's my first and I researched for a couple weeks before committing to the K3 over the Nook.  Your review sealed that I made the right decision!! I received my red leather cover today and between seeing that and reading your review, my waiting has just become alot harder!",1,0,0,0,0
21,1,0.96428573,Adam N. Lamar,"Great review! Was thinking about it as well. I sneered when Kindle first came out. I didn't like the first device (I never buy new tech anyway anymore - let the suckers put up with the bugs) and I thought the price of books was too high. A friend though pointed out that with printing costs virtually nil, when I purchase a hard copy, most of what I am paying for is marketing, production and royalty - so there is little difference in cost between the hard and digital - made sense. Enough for me to download Kindle and start using it on my BlackBerry (great for flights). Also, I like the lack of limitation in hardware - I can read the same purchase on my iMac or BlackBerry - so can re-download to the new device I am buying without repurchasing the book! I in fact cut the cord on a recent trip and didn't carry any paper books with me - using my BlackBerry for one solid week. I managed but it left me thirsting for a much better reader. As good as my Bold 9700 is, I get tired of looking at a lighted (and small) screen.  The combination of the improved quality and the lower price weakened me - but the addition of WiFi and 3G put the nail in the coffin - and I have ordered the 3G version in graphite with a lighted cover case. Hopefully will come in time for my next trip.  One thing I have told friends is that so many other book programs make you pay for EVERYTHING - I like Kindle due to the vast offering of 0 cost public domain documents.",1,0,0,1,0
22,1,0.5625,Adam N. Lamar,"PS: Thank you other posters here as well! I was really torn between getting the DX and K3 and opted for the K3 due to the price difference. The larger format was attractive to me, but again, is it worth the extra weight and $$? Well, next year, I think they'll probably have a decent successor in place I can buy when I have to send the K3 in for its battery change.",0,0,1,1,0
23,1,1,Lori Pare,"Excellent review, Ron.  Thanks to your comprehensive review, I believe I'm sold on the Kindle 3, after much debate I might add.  You should work for Consumer Reports!  :) Lori",1,0,0,0,0
24,1,0.9,trish sonntag,Thanks for the great review and differences between the two. I can't think of one single thing about the Nook or the Kindle that I would have questions about after all of the info you provided on them both. I must go order my new Kindle now...Thanks.,1,0,0,0,0
25,1,0.8,Adam N. Lamar,"Thanks for this! I had already made my decision by the time I first read this post yesterday, but was happy to hear from someone like you who had also looked at K3 vs DX. Should be able to avoid buyer's remorse now..",1,0,0,0,0
26,1,0.8888889,Adam N. Lamar,"ALMOST got the white - actually had it in the basket, then deleted and chose graphite - because the thought about dirt crossed my mind. I am getting Amazon's case for the K3 I just ordered, but still skeptical that would do 100% in keeping my unit pristine. Your review here was helpful.",1,0,0,0,0
27,1,0.95348835,S. J Mahoney,Great review.  I also own a nook and Kindle 2 and really regret buying the Nook.  The nook has great contrast and I kind of dig the touchpad but the battery life is TERRIBLE!  My wife uses the nook and has to read with it plugged in a lot.  After a few weeks of this I decided I would call the customer service desk and get a new nook.  After going back and forth with the supervisor (i have replaced a kindle too due to the hinge issue and they overnighted me a new kindle with no questions asked) I finally convinced them to send me a new refurb.  The battery life was exactly the same.  I strongly recommend against buying a nook for this reason.  I cannot get more than 4 days charge out of it with only moderate reading.  The nook also discharges when it is in sleep mode!  And it is a very noticeable drain.,1,0,0,1,0
28,1,1,"Books, cats & window seats",Wow!  Thanks for an informative review.,1,0,0,0,0
29,1,0.8888889,Tariq,"Thanks for such a detailed review. I've had a Kindle since it was first introduced (1st generation) and I've never found any interest in the Nook. I thought there was no point in having a color touch screen just for browsing the book covers. I hope that within a few years we will have color e-ink devices and if Amazon releases it first, I will be the first in the queue to buy it. Nook tries to trick uninformed users that it is color but in fact it is not.",1,0,0,1,0
30,1,0.3846154,William O. Parks lll,"i travel overseas ALOT and with airline luggage weight restrictions, i have decided to buy a kindle except i am not computer literate AT ALL and i like the comments about a ""real live person""!!!!!  going now to B&N to at least look at stuff!!!!  thanks!",1,0,0,1,0
31,1,0.73333335,Dario Straccia,"Excellent review RON. I know some think you should have just reviewed the Kindle but its nice to see a review that pits bothof the two top selling ereaders. If I was to purchase one right now though, i would probably be in the minority and get the NOOK.LOL  I like that the battery can be replaced, so battery life would be no issue. Just have a couple extra batteries lying around. I went to the store today and looked at the nook. Weight is not an issue with it. Very comfortable.( those who worry about a few ounces, im puzzled by that. Unles your health is shot, it shouldnt be a problem) Also I like the fact I can go to Barnes and noble and have any problems taken care of right away. I have a barnes and noble 1.5 miles from my house.:) So when Im ready I will get the nook i think. Maybe when the second version comes out.",1,0,0,1,0
32,1,0.71428573,Denverite,"Thank you for the review - very helpful.  One question about Nook comparison - do you know if it had one of the later version of the Nook software installed on it (1.3 or 1.4)?  I read previous reviews that Nook's performance got quicker with an update, so I wonder if that is factored in.",1,0,1,0,0
33,1,0.7,Tim J Satherlie,"Boy, if you were trying to decide, this is an incredible review! Thanks for taking the time to do all this research...It is greatly appreciated. Mrs. Terry Satherlie",1,0,0,0,0
34,1,0.42857143,mandy,hi im dumb to ereaders i was in a borders last nite looking at the ereaders and the salesperson told me borders sells the only ereader that can download to all the ebook is that true? Does the kindle only download to amazon? Thank you,0,0,1,0,0
35,1,1,Kaitlin,Excellent review.  Thanks for posting.   I was looking for a comparison list for a friend of mine.  I own a nook and love it.  For me the ePub feature made it an easy choice.  I thoroughly researched my area libraries before my purchase and found that they have an excellent digital selection (Washington DC metro area).  Non-residents can also get a library card for the Free Library of Philadelphia for $15 a year which has a good digital selection as well.  I have had no trouble getting the latest bestsellers from the library with often a shorter wait than for the hardcopy at the library.,1,0,0,0,0
